order_id;category_name;product_name;destination_country;year_months;brute_revenue
10981;Beverages;Côte de Blaye;Brazil;199803;15810.0
10865;Beverages;Côte de Blaye;Germany;199802;15019.5
10417;Beverages;Côte de Blaye;Denmark;199701;10540.0
10889;Beverages;Côte de Blaye;USA;199802;10540.0
10897;Meat/Poultry;Thüringer Rostbratwurst;Ireland;199802;9903.2
10353;Beverages;Côte de Blaye;Austria;199611;8432.0
10424;Beverages;Côte de Blaye;Canada;199701;8263.36
10540;Beverages;Côte de Blaye;Germany;199705;7905.0
10817;Beverages;Côte de Blaye;Germany;199801;7905.0
10816;Beverages;Côte de Blaye;USA;199801;7509.75
11032;Beverages;Côte de Blaye;USA;199804;6587.5
10372;Beverages;Côte de Blaye;Brazil;199612;6324.0
10479;Beverages;Côte de Blaye;USA;199703;6324.0
11017;Dairy Products;Raclette Courdavault;Austria;199804;6050.0
10776;Produce;Manjimup Dried Apples;Austria;199712;6042.0
10912;Meat/Poultry;Thüringer Rostbratwurst;Ireland;199802;5570.55
11030;Meat/Poultry;Thüringer Rostbratwurst;USA;199804;5570.55
10515;Confections;Schoggi Schokolade;Germany;199704;5268.0
10691;Meat/Poultry;Thüringer Rostbratwurst;Germany;199710;4951.6
10993;Meat/Poultry;Thüringer Rostbratwurst;Sweden;199804;4642.125
10510;Meat/Poultry;Thüringer Rostbratwurst;USA;199704;4456.4400000000005
10666;Meat/Poultry;Thüringer Rostbratwurst;Switzerland;199709;4456.4400000000005
11072;Grains/Cereals;Wimmers gute Semmelknödel;Austria;199805;4322.5
11030;Dairy Products;Raclette Courdavault;USA;199804;4125.0
10329;Beverages;Côte de Blaye;USA;199610;4005.2
10351;Beverages;Côte de Blaye;Austria;199611;4005.2
10518;Beverages;Côte de Blaye;Mexico;199704;3952.5
10711;Meat/Poultry;Perth Pasties;USA;199710;3935.9999999999995
10607;Meat/Poultry;Alice Mutton;USA;199707;3900.0
10953;Confections;Sir Rodney's Marmalade;UK;199803;3847.5
10678;Dairy Products;Queso Manchego La Pastora;USA;199709;3800.0
10616;Beverages;Côte de Blaye;USA;199707;3754.875
10687;Meat/Poultry;Mishi Kobe Niku;Ireland;199709;3637.5
10672;Beverages;Côte de Blaye;Sweden;199709;3557.25
10360;Meat/Poultry;Thüringer Rostbratwurst;France;199611;3465.0
10895;Dairy Products;Camembert Pierrot;Austria;199802;3400.0
10633;Confections;Tarte au sucre;Austria;199708;3352.4
10514;Confections;Sir Rodney's Marmalade;Austria;199704;3159.0
10634;Seafood;Carnarvon Tigers;France;199708;3125.0
11008;Produce;Rössle Sauerkraut;Austria;199804;3032.3999999999996
10893;Meat/Poultry;Thüringer Rostbratwurst;Germany;199802;2970.96
10949;Confections;Tarte au sucre;Canada;199803;2958.0
10524;Beverages;Ipoh Coffee;Sweden;199705;2760.0
10316;Confections;Tarte au sucre;USA;199609;2758.0
10841;Dairy Products;Raclette Courdavault;Belgium;199801;2750.0
11064;Meat/Poultry;Alice Mutton;USA;199805;2702.7000000000003
10694;Produce;Uncle Bob's Organic Dried Pears;Germany;199710;2700.0
10514;Grains/Cereals;Gnocchi di nonna Alice;Austria;199704;2660.0
10561;Produce;Manjimup Dried Apples;Sweden;199706;2650.0
10479;Dairy Products;Raclette Courdavault;USA;199703;2640.0
10490;Dairy Products;Raclette Courdavault;Venezuela;199703;2640.0
10805;Beverages;Côte de Blaye;USA;199712;2635.0
10854;Seafood;Ikura;Austria;199801;2635.0
10267;Dairy Products;Raclette Courdavault;Germany;199607;2618.0
10595;Condiments;Sirop d'érable;Austria;199707;2565.0
10629;Meat/Poultry;Thüringer Rostbratwurst;Spain;199708;2475.8
10745;Dairy Products;Raclette Courdavault;Germany;199711;2475.0
10852;Confections;Tarte au sucre;USA;199801;2465.0
10430;Dairy Products;Raclette Courdavault;Austria;199701;2464.0
10252;Confections;Sir Rodney's Marmalade;Belgium;199607;2462.4
10688;Produce;Rössle Sauerkraut;Denmark;199710;2462.4
10515;Dairy Products;Camembert Pierrot;Germany;199704;2427.6
10324;Condiments;Vegie-spread;USA;199610;2386.7999999999997
10691;Confections;Tarte au sucre;Germany;199710;2366.3999999999996
10787;Meat/Poultry;Thüringer Rostbratwurst;France;199712;2352.01
10402;Condiments;Vegie-spread;Austria;199701;2281.5
10762;Grains/Cereals;Gnocchi di nonna Alice;Sweden;199712;2280.0
10605;Dairy Products;Camembert Pierrot;Canada;199707;2261.0
10345;Condiments;Northwoods Cranberry Sauce;Germany;199611;2240.0
10772;Meat/Poultry;Thüringer Rostbratwurst;Germany;199712;2228.2200000000003
10305;Meat/Poultry;Thüringer Rostbratwurst;USA;199609;2227.5
10598;Confections;Schoggi Schokolade;USA;199707;2195.0
10851;Dairy Products;Raclette Courdavault;Brazil;199801;2194.5
10612;Seafood;Ikura;USA;199707;2170.0
10886;Seafood;Ikura;Brazil;199802;2170.0
10570;Grains/Cereals;Gnocchi di nonna Alice;Canada;199706;2166.0
10637;Grains/Cereals;Gnocchi di nonna Alice;Brazil;199708;2166.0
10549;Produce;Manjimup Dried Apples;Germany;199705;2162.4
10401;Grains/Cereals;Gnocchi di nonna Alice;USA;199701;2128.0
10948;Produce;Manjimup Dried Apples;Spain;199803;2120.0
10360;Beverages;Côte de Blaye;France;199611;2108.0
10831;Beverages;Côte de Blaye;Norway;199801;2108.0
10764;Beverages;Chartreuse verte;Austria;199712;2106.0
10892;Dairy Products;Raclette Courdavault;Belgium;199802;2090.0
10638;Dairy Products;Mozzarella di Giovanni;Venezuela;199708;2088.0
10400;Meat/Poultry;Thüringer Rostbratwurst;UK;199701;2079.0
10339;Meat/Poultry;Alice Mutton;Canada;199610;2074.7999999999997
10398;Meat/Poultry;Pâté chinois;USA;199612;2073.6
10451;Meat/Poultry;Pâté chinois;Germany;199702;2073.6
10359;Dairy Products;Camembert Pierrot;UK;199611;2067.2
11033;Meat/Poultry;Perth Pasties;Switzerland;199804;2066.4
10836;Dairy Products;Camembert Pierrot;Austria;199801;2040.0
10440;Meat/Poultry;Thüringer Rostbratwurst;USA;199702;2019.6
10588;Seafood;Carnarvon Tigers;Germany;199707;2000.0
10369;Meat/Poultry;Thüringer Rostbratwurst;USA;199612;1980.0
10823;Dairy Products;Raclette Courdavault;Venezuela;199801;1980.0
10546;Confections;Tarte au sucre;France;199705;1972.0
11021;Confections;Gumbär Gummibärchen;Germany;199804;1967.49
10701;Dairy Products;Raclette Courdavault;Ireland;199710;1963.5
10601;Dairy Products;Raclette Courdavault;Venezuela;199707;1925.0
10703;Dairy Products;Raclette Courdavault;Sweden;199710;1925.0
10789;Seafood;Carnarvon Tigers;France;199712;1875.0
10801;Meat/Poultry;Thüringer Rostbratwurst;Spain;199712;1856.8500000000001
10691;Beverages;Ipoh Coffee;Germany;199710;1840.0
10384;Confections;Sir Rodney's Marmalade;Sweden;199612;1814.3999999999999
10987;Produce;Uncle Bob's Organic Dried Pears;UK;199803;1800.0
10988;Produce;Uncle Bob's Organic Dried Pears;USA;199803;1800.0
11001;Produce;Uncle Bob's Organic Dried Pears;Sweden;199804;1800.0
10658;Dairy Products;Camembert Pierrot;Germany;199709;1776.5
10988;Confections;Tarte au sucre;USA;199803;1774.8
10567;Dairy Products;Raclette Courdavault;Ireland;199706;1760.0
10760;Confections;Schoggi Schokolade;Belgium;199712;1756.0
10921;Condiments;Vegie-spread;Denmark;199803;1756.0
10441;Confections;Schoggi Schokolade;USA;199702;1755.0
10595;Dairy Products;Gudbrandsdalsost;Austria;199707;1755.0
10618;Condiments;Grandma's Boysenberry Spread;Canada;199708;1750.0
11053;Seafood;Carnarvon Tigers;Austria;199804;1750.0
11021;Produce;Manjimup Dried Apples;Germany;199804;1749.0
10440;Condiments;Sirop d'érable;USA;199702;1744.2
10941;Dairy Products;Mozzarella di Giovanni;USA;199803;1739.9999999999998
10971;Meat/Poultry;Thüringer Rostbratwurst;France;199803;1733.0600000000002
10904;Confections;Tarte au sucre;USA;199802;1725.5
10657;Grains/Cereals;Gnocchi di nonna Alice;USA;199709;1710.0
10894;Dairy Products;Gudbrandsdalsost;USA;199802;1710.0
10660;Confections;Sir Rodney's Marmalade;USA;199709;1701.0
10742;Dairy Products;Camembert Pierrot;Canada;199711;1700.0
11056;Dairy Products;Camembert Pierrot;UK;199804;1700.0
10249;Produce;Manjimup Dried Apples;Germany;199607;1696.0
10344;Condiments;Northwoods Cranberry Sauce;USA;199611;1680.0
10895;Seafood;Boston Crab Meat;Austria;199802;1674.3999999999999
10395;Meat/Poultry;Perth Pasties;Venezuela;199612;1650.6000000000001
11032;Dairy Products;Raclette Courdavault;USA;199804;1650.0
11036;Dairy Products;Raclette Courdavault;Germany;199804;1650.0
10791;Meat/Poultry;Thüringer Rostbratwurst;Germany;199712;1646.4070000000002
10861;Meat/Poultry;Alice Mutton;USA;199801;1638.0
10335;Produce;Manjimup Dried Apples;Ireland;199610;1628.1599999999999
10503;Produce;Tofu;Ireland;199704;1627.5
10465;Meat/Poultry;Thüringer Rostbratwurst;Denmark;199703;1603.8
10332;Seafood;Carnarvon Tigers;Canada;199610;1600.0
